loc_name,for_name,outserv,zona,area,red,ruta,barra_con,barra_con_for,barra_con_kV,barra_con_id,tipo_shunt,Q_nom_Mvar,U_nom_kV,num_pasos,paso_actual,C_uF,L_mH,sistema,nodo_ctrl_for,U_consigna_pu
69 kV Capacitor La Romana Pueblo,ZLRMAF-C1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Capacitor La Romana Pueblo.ElmShnt,Tap Capacitor 69 kV La Romana Pueblo,WXCLRF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Capacitor 69 kV La Romana Pueblo.ElmTerm,2,15.600000381469727,69.0,1,1,8.691511154174805,4.774649143218994,0,,
69 kV Capacitor Higüey,ZHIGUF-C1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Capacitor Higüey.ElmShnt,1(3),,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(3).ElmTerm,2,17.0,69.0,1,1,9.471518516540527,8.324999809265137,0,,
69 kV Capacitor Madre Vieja(San Rafael),ZSRAFF-C1,0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Capacitor Madre Vieja(San Rafael).ElmShnt,69 kV San Rafael(1),WSRAFF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV San Rafael(1).ElmTerm,2,20.0,69.0,1,1,11.142962455749512,4.774649143218994,0,,
34.5 kV Capacitor 1 PVDC,ZPVD1K-C1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV Capacitor 1 PVDC.ElmShnt,Terminal PVDC 1,WPVD1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm,2,10.0,34.5,3,1,22.285924911499023,4.774649143218994,0,,
34.5 kV Capacitor 2 PVDC,ZPVD2K-C1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV Capacitor 2 PVDC.ElmShnt,Terminal PVDC 2,WPVD2K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 2.ElmTerm,2,10.0,34.5,3,1,22.285924911499023,4.774649143218994,0,,
69 kV Capacitor SPM,ZSPMAF-C1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\69 kV Capacitor SPM.ElmShnt,3,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAF.ElmSubstat\3.ElmTerm,2,20.0,69.0,1,1,11.142963409423828,4.774649143218994,0,,
69 kV Capacitor 2 ZF Santiago,ZZSANF-C2,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\69 kV Capacitor 2 ZF Santiago.ElmShnt,4,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\ZZSANF.ElmSubstat\4.ElmTerm,2,20.0,69.0,1,1,11.142959594726562,4.774649143218994,0,,
69 kV Capacitor 1 ZF Santiago,ZZSANF-C1,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\69 kV Capacitor 1 ZF Santiago.ElmShnt,5,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\ZZSANF.ElmSubstat\5.ElmTerm,2,9.600000381469727,69.0,1,1,5.348621845245361,4.774649143218994,0,,
69 kV Capacitor 2 Canabacoa,ZCANBF-C2,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\69 kV Capacitor 2 Canabacoa.ElmShnt,L1,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\ZCANAF.ElmSubstat\L1.ElmTerm,2,20.0,69.0,1,1,11.142959594726562,4.774649143218994,0,,
69 kV Capacitor 1 Canabacoa,ZCANBF-C1,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\69 kV Capacitor 1 Canabacoa.ElmShnt,R1,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\ZCANAF.ElmSubstat\R1.ElmTerm,2,15.600000381469727,69.0,1,1,8.691511154174805,4.774649143218994,0,,
